report_id,title,indicator_id,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message,has_annual
80,Community Health Profiles,375,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,101,101,UHF42,Kingsbridge - Riverdale,20.13,,TRUE
80,Community Health Profiles,365,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,11.03,,TRUE
80,Community Health Profiles,365,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,101,101,UHF42,Kingsbridge - Riverdale,10.09,,TRUE
80,Community Health Profiles,391,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,101,101,UHF42,Kingsbridge - Riverdale,19.77,,TRUE
80,Community Health Profiles,391,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,18.72,,TRUE
80,Community Health Profiles,370,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,101,101,UHF42,Kingsbridge - Riverdale,1.1,,TRUE
80,Community Health Profiles,365,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,7.5,,TRUE
80,Community Health Profiles,644,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,22.6,,FALSE
80,Community Health Profiles,375,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,101,101,UHF42,Kingsbridge - Riverdale,20.79,,TRUE
80,Community Health Profiles,375,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,101,101,UHF42,Kingsbridge - Riverdale,19.05,,TRUE
80,Community Health Profiles,375,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,18.23,,TRUE
80,Community Health Profiles,365,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,101,101,UHF42,Kingsbridge - Riverdale,10.65,,TRUE
80,Community Health Profiles,365,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,101,101,UHF42,Kingsbridge - Riverdale,9.27,,TRUE
80,Community Health Profiles,391,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,24.52,,TRUE
80,Community Health Profiles,370,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,1.25,,TRUE
80,Community Health Profiles,370,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,101,101,UHF42,Kingsbridge - Riverdale,1.23,,TRUE
80,Community Health Profiles,370,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,1.14,,TRUE
80,Community Health Profiles,370,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,1.02,,TRUE
80,Community Health Profiles,370,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,0.95,,TRUE
80,Community Health Profiles,375,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,16.04,,TRUE
80,Community Health Profiles,370,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,0.81,,TRUE
80,Community Health Profiles,375,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,15.77,,TRUE
80,Community Health Profiles,391,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,101,101,UHF42,Kingsbridge - Riverdale,10,,TRUE
80,Community Health Profiles,375,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,101,101,UHF42,Kingsbridge - Riverdale,23.2,,TRUE
80,Community Health Profiles,365,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,8.88,,TRUE
80,Community Health Profiles,391,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,101,101,UHF42,Kingsbridge - Riverdale,15.24,,TRUE
80,Community Health Profiles,645,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,2.3,,FALSE
80,Community Health Profiles,643,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,28.8,,FALSE
80,Community Health Profiles,365,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,9.17,,TRUE
80,Community Health Profiles,391,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,15.13,,TRUE
80,Community Health Profiles,375,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,101,101,UHF42,Kingsbridge - Riverdale,17.82,,TRUE
80,Community Health Profiles,391,2015-12-31,2016-12-31,Annual Average,Annual Average 2016,101,101,UHF42,Kingsbridge - Riverdale,13.22,,TRUE
80,Community Health Profiles,365,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,7.41,,TRUE
80,Community Health Profiles,375,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,17.28,,TRUE
80,Community Health Profiles,391,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,12.09,,TRUE
80,Community Health Profiles,370,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,101,101,UHF42,Kingsbridge - Riverdale,0.76,,TRUE
80,Community Health Profiles,391,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,12.06,,TRUE
80,Community Health Profiles,370,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,101,101,UHF42,Kingsbridge - Riverdale,0.73,,TRUE
80,Community Health Profiles,375,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,101,101,UHF42,Kingsbridge - Riverdale,13.5,,TRUE
80,Community Health Profiles,365,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,101,101,UHF42,Kingsbridge - Riverdale,5.89,,TRUE
80,Community Health Profiles,391,2020-01-01,2020-12-31,Annual Average,Annual Average 2020,101,101,UHF42,Kingsbridge - Riverdale,9.3,,TRUE
80,Community Health Profiles,643,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,24.6,,FALSE
80,Community Health Profiles,645,2005-01-01,2005-12-31,year,2005,101,101,UHF42,Kingsbridge - Riverdale,1.9,,FALSE
80,Community Health Profiles,375,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,17.1,,TRUE
80,Community Health Profiles,365,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,101,101,UHF42,Kingsbridge - Riverdale,9,,TRUE
80,Community Health Profiles,391,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,101,101,UHF42,Kingsbridge - Riverdale,21.59,,TRUE
80,Community Health Profiles,391,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,101,101,UHF42,Kingsbridge - Riverdale,17.21,,TRUE
80,Community Health Profiles,644,2016-01-01,2016-12-31,year,2016,101,101,UHF42,Kingsbridge - Riverdale,26.3,,FALSE
80,Community Health Profiles,370,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,101,101,UHF42,Kingsbridge - Riverdale,1.19,,TRUE
