"District","CouncilMember","Borough","Party","Neighborhoods","Email"
"1","Christopher Marte","Manhattan","Democrat","Battery Park City, Civic Center, Chinatown, Financial District, Little Italy, the Lower East Side, NoHo, SoHo, South Street Seaport, South Village, TriBeCa & Washington Square","District1@council.nyc.gov"
"2","Carlina Rivera","Manhattan","Democrat","East Village, Gramercy Park, Kips Bay, Lower East Side, Murray Hill, Rose Hill","District2@council.nyc.gov"
"3","Erik Bottcher","Manhattan","Democrat","Chelsea, Hell�s Kitchen, Greenwich Village, West SoHo, Hudson Square, Times Square, Garment District, Flatiron, Upper West Side","District3@council.nyc.gov"
"4","Keith Powers","Manhattan","Democrat","Upper East Side, Carnegie Hill, Yorkville, Central Park South, Midtown East, Times Square, Koreatown, Stuyvesant Town and Peter Cooper Village, Waterside Plaza, Tudor City, Turtle Bay, Murray Hill, Sutton Place","District4@council.nyc.gov"
"5","Julie Menin","Manhattan","Democrat","Upper East Side's Yorkville, Lenox Hill, Carnegie Hill, Roosevelt Island, Midtown East, Sutton Place, El Barrio in East Harlem","District5@council.nyc.gov"
"6","Gale A. Brewer","Manhattan","Democrat","Central Park, Lincoln Square, Upper West Side, Clinton","District6@council.nyc.gov"
"7","Shaun Abreu","Manhattan","Democrat","Manhattan Valley, Manhattanville, Morningside Heights, Hamilton Heights","District7@council.nyc.gov"
"8","Diana Ayala","Manhattan/Bronx","Democrat","El Barrio/East Harlem, Mott Haven, Highbridge, Concourse, Longwood, Port Morris","District8@council.nyc.gov"
"9","Kristin Richardson Jordan","Manhattan","Democrat","Central Harlem, Morningside Heights, Upper West Side, East Harlem","District9@council.nyc.gov"
"10","Carmen De La Rosa","Manhattan","Democrat","Washington Heights, Inwood, Marble Hill","District10@council.nyc.gov"
"11","Eric Dinowitz","Bronx","Democrat","Bedford Park, Kingsbridge, Riverdale, Norwood, Van Cortlandt Village, Wakefield, Woodlawn","District11@council.nyc.gov"
"12","Kevin C. Riley","Bronx","Democrat","Wakefield, Olinville, Edenwald, Eastchester, Williamsbridge, Baychester, Co-op City","District12@council.nyc.gov"
"13","Marjorie Vel�zquez","Bronx","Democrat","Allerton, City Island, Country Club, Edgewater Park, Ferry Point, Locust Point, Morris Park, Pelham Bay, Pelham Gardens, Pelham Parkway, Schuylerville, Silver Beach, Spencer Estates, Throggs Neck, Van Nest, Waterbury LaSalle, Westchester Square, Zerega","District13@council.nyc.gov"
