ID,Pollutant,Indicator,Description,Sources
1,pm,Commercial cooking,"Number of permitted commercial cooking grills and charbroilers within 1,000 m",Emissions from commercial cooking
2,pm,Loading docks,Number of warehouse loading docks within 700 m,Emissions from trucks idling and traveling to and from warehouses
3,pm,Traffic density,"Traffic density, weighted by relative PM₂.₅ emissions rates by vehicle type (car, truck, bus) within 250 m",PM₂.₅ emissions from all on-road motor vehicles based on vehicle miles and the relative emissions rates of different vehicle types
4,no2,Building density,"Area of interior building space within 1,000 m",Combustion of heating oil and natural gas
5,no2,Road area,Road area within 100 m,Emissions of motor vehicles on paved roadways
6,no2,Loading docks,Number of warehouse loading docks within 500 m,Emissions from trucks idling and traveling to and from warehouses
7,no2,Truck emissions,Estimated NOx emissions from truck traffic within 500 m,NOx emissions from on-road truck activity based on vehicle miles and average truck speeds and emission rates
8,no,Loading docks,Number of warehouse loading docks within 500 m,Emissions from trucks idling and traveling to and from warehouses
9,no,Traffic density,"Traffic density, weighted by relative NOx emissions rates and vehicle type (car, truck, bus) within 300 m",NOx emissions from all on-road motor vehicles based on vehicle miles and the relative emission rates of different vehicle types
10,no,Bus traffic,Location on a bus route (compared to non-bus route locations),Emissions from buses and other vehicles on busy roadways - indicator of traffic congestion
11,no,Building emissions,NOX emissions from heat and hot water boilers in buildings within 150 m,Combustion of heating oil and natural gas
12,bc,Road density,Area of impervious road surface within 100 m,Emissions of motor vehicles on paved roadways
13,bc,Commercial cooking,Number of permitted commercial cooking grills and charbroilers within 100 m,Emissions from commercial cooking
14,bc,Building emissions,PM2.5 emissions from heat and hot water oil-burning boilers in buildings within 1000 m,Combustion of heating oil
15,bc,Loading docks,Number of warehouse loading docks within 700 m,Emissions from trucks idling and traveling to and from warehouses
16,o3,NO2,Level of NO2 measured at the same location,"Nitric oxides (NOX) at elevated concentrations react with ground-level ozone (O₃), to create NO₂ and O₃, also called ""quenching"" ozone"
17,o3,Tree cover,Tree cover within 50 m,Reduced levels through reactions of ozone with leaf surfaces
