topic,kaLink,IndicatorID,IndicatorName
Childcare Care Financial Assistance,KA-03118,1,Preterm birth
Pregnancy Support,KA-02928,1,Preterm birth
Developmentally Delayed Infant Services,KA-02092,1,Preterm birth
Childcare Care Financial Assistance,KA-03118,2,Very preterm birth
Developmentally Delayed Infant Services,KA-02092,2,Very preterm birth
Pregnancy Support,KA-02928,2,Very preterm birth
Childcare Care Financial Assistance,KA-03118,3,Very low birthweight
Childcare Care Financial Assistance,KA-03118,4,Low birthweight at full term
Stillbirth or Miscarriage Certificate,KA-03562,5,Death (infants)
Stillbirth or Miscarriage Certificate,KA-03562,6,Death (neonatal)
Stillbirth or Miscarriage Certificate,KA-03562,7,Death (perinatal)
Stillbirth or Miscarriage Certificate,KA-03562,8,Death (postneonatal)
Health Services for Women,KA-03100,9,Total lifetime fertility
"Historic Birth, Death, or Marriage Record",KA-02750,10,Sex ratio
"Historic Birth, Death, or Marriage Record",KA-02750,14,Foreign-born
Healthy Homes,KA-01565,16,Very old homes
Home Ownership,KA-02786,17,Owner-occupied homes
Asthma,KA-02563,18,Adults with asthma (past 12 months)
Asthma,KA-02563,19,Asthma in the Past 12 Months (Children)
Children with Special Health Care Needs,KA-01528,19,Asthma in the Past 12 Months (Children)
Pest Control Guidance,KA-01110,20,"Personal Use of Pesticide Sprays, Bombs, or Foggers"
Mosquitos,KA-02263,20,"Personal Use of Pesticide Sprays, Bombs, or Foggers"
Pest Complaint,KA-02278,22,Adults reporting cockroaches
Rat or Mouse Complaint,KA-01107,24,Adults reporting mice or rats outside
Secondhand Smoke,KA-01493,25,Secondhand smoke at home
Child With Special Health Cares Needs,KA-01528,26,Anencephaly
Child With Special Health Cares Needs,KA-01528,27,Spina bifida (without anencephaly)
Child With Special Health Cares Needs,KA-01529,28,Hypoplastic left heart syndrome
Child With Special Health Cares Needs,KA-01530,29,Transposition of the great arteries (vessels)
Child With Special Health Cares Needs,KA-01531,30,Cleft lip (with or without cleft palate)
Child With Special Health Cares Needs,KA-01532,31,Cleft palate (without cleft lip)
Child With Special Health Cares Needs,KA-01533,32,Hypospadias
Child With Special Health Cares Needs,KA-01534,33,Gastroschisis
Child With Special Health Cares Needs,KA-01535,34,Upper limb deficiencies
Child With Special Health Cares Needs,KA-01536,35,Lower limb Deficiencies
Child With Special Health Cares Needs,KA-01537,36,Down Syndrome (Mother under age 35)
Child With Special Health Cares Needs,KA-01538,37,Down Syndrome (Mother age 35 and up)
Carbon monoxide,KA-02608,38,Carbon monoxide incidents
NYCHA Public Housing Maintenance Complaint,KA-01076,40,Homes with cracks or holes
Apartment Maintenance Complaint,KA-01074,40,Homes with cracks or holes
NYCHA Public Housing Maintenance Complaint,KA-01076,41,Old homes with peeling paint
Apartment Maintenance Complaint,KA-01074,41,Old homes with peeling paint
NYCHA Public Housing Maintenance Complaint,KA-01076,42,Homes with leaks
Water Leak in a Building,KA-01509,42,Homes with leaks
NYCHA Public Housing Maintenance Complaint,KA-01076,44,Homes in Deteriorating or Dilapidated Buildings
Apartment Maintenance Complaint,KA-01074,44,Homes in Deteriorating or Dilapidated Buildings
NYCHA Public Housing Maintenance Complaint,KA-01076,45,Homes with 3+ maintenance deficiencies
Apartment Maintenance Complaint,KA-01074,45,Homes with 3+ maintenance deficiencies
HEAP Energy Assistance,KA-02529,47,Homes using supplemental heat
Rat or Mouse Complaint,KA-01107,48,Homes with mice or rats in the building
Air Pollution,KA-01408,55,Ozone action days
Air Pollution,KA-01408,57,Fine particles (PM 2.5) action days
Mammogram,KA-02853,60,Breast cancer (in females)
Cancer,KA-01521,60,Cancer
Health Services for Women,KA-03100,60,Breast cancer (in females)
Cancer,KA-01521,63,Lung and bronchus cancer
Cancer,KA-01521,64,Pancreatic cancer
Cancer,KA-01521,66,Brain and other nervous system cancer
Cancer,KA-01521,71,Non-Hodgkin's lymphomas
Cancer,KA-01521,73,Leukemia
Cancer,KA-01521,74,Acute myeloid leukemia
Carbon monoxide,KA-02608,78,Carbon Monoxide Poison Control Center (PCC) Calls
Asthma,KA-02563,84,Asthma hospitalizations (age 4 and under)
Asthma,KA-02563,85,Asthma Hospitalizations (Children 5 to 14 Yrs Old)
Asthma,KA-02563,86,Asthma Hospitalizations (Youths and Adults)
Carbon monoxide,KA-02608,87,Carbon Monoxide Hospitalizations (Fire-Related)
Carbon monoxide,KA-02608,88,Carbon Monoxide Hospitalizations (Other Causes)
Carbon monoxide,KA-02608,89,Carbon Monoxide Hospitalizations (Unknown Cause)
Pest Control Guidance,KA-01110,91,Regular exterminator service
Air Pollution,KA-01408,92,Air quality action days
Pest Control Guidance,KA-01110,93,Commercial use of insecticides
Pesticide Application without Notice,KA-01597,93,Commercial use of insecticides
