cause,description,source,URL
Abuse,"Adult and child abuse, neglect, and other maltreatment, confirmed or suspected.",,
Alzheimer's disease,,,
Bite or sting,,,
Blood diseases and disorders involving the immune mechanism,"such as nutritional anemia, sickle cell/trait anemia, and immunity disorders","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Cerebrovascular disease,Conditions that affect blood flow to or in the brain such as stroke or brain aneurysm.,,
Chronic liver disease/cirrhosis,,,
Chronic lower respiratory diseases,,,
Conditions originating in the perinatal period,"Conditions originating around the time of childbirth, including routine birth-related hospitalizations.",,
Congenital anomalies,such as cleft lip or palate and cardiac and circulatory congenital anomalies,"Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
"Congenital malformations, deformations and chromosomal abnormalities",such as cleft lip or palate and cardiac and circulatory congenital anomalies,"Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
COVID-19,,,
Cut or pierce,"Injury resulting from an incision, slash, penetration, or puncture.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Dental diseases,"Any dental condition including traumatic injury, nontraumatic dental conditions, cavities, periodontitis, and more.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Diabetes,,,
Circulatory system diseases,"such as hypertension, myocardial infarction, heart failure","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Digestive system diseases,"such as appendicitis, hepatic failure, and diverticulosis","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Ear diseases,"such as otitis media, diseases of the inner ear, and hearing loss.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
