"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Age-adjusted rate per 10,000","Estimated annual rate per 10,000","Number"
"2019","UHF 42","103","4","Fordham - Bronx Pk","123.8","125.2","2,597"
"2019","UHF 42","104","4","Pelham - Throgs Neck","102.3","101.7","2,463"
"2019","UHF 42","105","4","Crotona -Tremont","189.2","191.5","3,138"
"2019","UHF 42","106","4","High Bridge - Morrisania","219.3","222.3","3,682"
"2019","UHF 42","107","4","Hunts Point - Mott Haven","237.1","237.5","2,534"
"2019","UHF 42","201","4","Greenpoint","43.2","36.6","429"
"2019","UHF 42","202","4","Downtown - Heights - Slope","57.2","51.1","1,131"
"2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","134.9","133.0","3,640"
"2019","UHF 42","204","4","East New York","160.1","160.4","2,381"
"2019","UHF 42","205","4","Sunset Park","41.9","40.7","395"
"2019","UHF 42","206","4","Borough Park","21.7","21.6","520"
"2019","UHF 42","207","4","East Flatbush - Flatbush","92.1","90.1","2,206"
"2019","UHF 42","208","4","Canarsie - Flatlands","81.3","78.7","1,340"
"2019","UHF 42","209","4","Bensonhurst - Bay Ridge","21.0","20.8","357"
"2019","UHF 42","210","4","Coney Island - Sheepshead Bay","43.2","40.3","977"
"2019","UHF 42","211","4","Williamsburg - Bushwick","138.3","133.4","2,322"
"2019","UHF 42","301","4","Washington Heights","55.6","55.3","1,279"
"2019","UHF 42","302","4","Central Harlem - Morningside Heights","211.0","209.3","3,235"
"2019","UHF 42","303","4","East Harlem","234.4","230.9","2,176"
"2019","UHF 42","304","4","Upper West Side","41.3","38.9","762"
"2019","UHF 42","305","4","Upper East Side","19.4","16.4","316"
"2019","UHF 42","306","4","Chelsea - Clinton","43.2","41.1","650"
"2019","UHF 42","307","4","Gramercy Park - Murray Hill","24.7","22.6","297"
"2019","UHF 42","308","4","Greenwich Village - SoHo","12.9","12.6","97"
"2019","UHF 42","309","4","Union Square - Lower East Side","67.3","65.5","1,135"
"2019","UHF 42","310","4","Lower Manhattan","47.7","40.0","235"
"2019","UHF 42","401","4","Long Island City - Astoria","44.6","41.3","740"
"2019","UHF 42","402","4","West Queens","33.6","33.2","1,249"
"2019","UHF 42","403","4","Flushing - Clearview","19.6","18.1","395"
"2019","UHF 42","404","4","Bayside - Little Neck","11.7","11.1","83"
"2019","UHF 42","405","4","Ridgewood - Forest Hills","28.9","27.6","606"
"2019","UHF 42","406","4","Fresh Meadows","29.1","28.5","234"
"2019","UHF 42","407","4","Southwest Queens","45.3","45.1","1,026"
"2019","UHF 42","408","4","Jamaica","72.8","72.0","1,898"
"2019","UHF 42","409","4","Southeast Queens","47.6","44.7","810"
"2019","UHF 42","410","4","Rockaways","103.9","99.4","1,008"
"2019","UHF 42","501","4","Port Richmond","119.9","120.2","656"
"2019","UHF 42","502","4","Stapleton - St. George","86.3","81.0","835"
"2019","UHF 42","503","4","Willowbrook","33.0","31.3","240"
"2019","UHF 42","504","4","South Beach - Tottenville","19.7","18.9","304"
"2019","Community District","101","6","Financial District (CD1)","27.4","21.9","124"
"2019","Community District","102","6","Greenwich Village and Soho (CD2)","9.7","9.5","81"
"2019","Community District","103","6","Lower East Side and Chinatown (CD3)","81.0","79.2","1,222"
"2019","Community District","104","6","Clinton and Chelsea (CD4)","40.4","38.2","533"
"2019","Community District","105","6","Midtown (CD5)","28.3","25.8","153"
"2019","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","23.6","22.0","301"
"2019","Community District","107","6","Upper West Side (CD7)","42.3","38.9","732"
"2019","Community District","108","6","Upper East Side (CD8)","18.5","15.6","312"
"2019","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","85.0","83.5","792"
"2019","Community District","110","6","Central Harlem (CD10)","274.7","272.6","2,568"
"2019","Community District","111","6","East Harlem (CD11)","246.2","242.5","2,447"
"2019","Community District","112","6","Washington Heights and Inwood (CD12)","56.3","56.0","918"
"2019","Community District","201","6","Mott Haven and Melrose (CD1)","300.2","300.6","2,218"
"2019","Community District","202","6","Hunts Point and Longwood (CD2)","180.5","180.7","764"
"2019","Community District","203","6","Morrisania and Crotona (CD3)","222.2","226.0","1,517"
"2019","Community District","204","6","Highbridge and Concourse (CD4)","179.0","181.3","2,151"
"2019","Community District","205","6","Fordham and University Heights (CD5)","153.6","154.4","1,573"
"2019","Community District","206","6","Belmont and East Tremont (CD6)","235.7","235.6","1,519"
"2019","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","115.2","116.1","1,330"
"2019","Community District","208","6","Riverdale and Fieldston (CD8)","46.6","44.8","383"
"2019","Community District","209","6","Parkchester and Soundview (CD9)","117.8","118.3","11"
"2019","Community District","210","6","Throgs Neck and Co-op City (CD10)","75.4","72.0","731"
"2019","Community District","211","6","Morris Park and Bronxdale (CD11)","94.1","90.9","850"
"2019","Community District","212","6","Williamsbridge and Baychester (CD12)","163.8","161.1","1,985"
"2019","Community District","301","6","Greenpoint and Williamsburg (CD1)","63.5","54.5","863"
"2019","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","63.0","57.3","682"
"2019","Community District","303","6","Bedford Stuyvesant (CD3)","166.8","164.7","1,950"
"2019","Community District","304","6","Bushwick (CD4)","112.4","110.5","960"
"2019","Community District","305","6","East New York and Starrett City (CD5)","171.4","170.7","2,293"
"2019","Community District","306","6","Park Slope and Carroll Gardens (CD6)","50.6","42.1","394"
"2019","Community District","307","6","Sunset Park (CD7)","42.6","40.2","425"
"2019","Community District","308","6","Crown Heights and Prospect Heights (CD8)","109.0","105.5","846"
"2019","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","94.2","91.8","731"
"2019","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","20.7","20.3","238"
"2019","Community District","311","6","Bensonhurst (CD11)","16.0","15.7","265"
"2019","Community District","312","6","Borough Park (CD12)","18.3","18.1","246"
"2019","Community District","313","6","Coney Island (CD13)","79.7","71.7","654"
"2019","Community District","314","6","Flatbush and Midwood (CD14)","59.6","59.2","763"
"2019","Community District","315","6","Sheepshead Bay (CD15)","22.6","21.7","308"
"2019","Community District","316","6","Brownsville (CD16)","237.6","235.4","1,469"
"2019","Community District","317","6","East Flatbush (CD17)","117.8","113.0","1,422"
"2019","Community District","318","6","Flatlands and Canarsie (CD18)","79.5","78.0","1,189"
"2019","Community District","401","6","Long Island City and Astoria (CD1)","44.4","42.6","722"
"2019","Community District","402","6","Woodside and Sunnyside (CD2)","19.9","18.6","243"
"2019","Community District","403","6","Jackson Heights (CD3)","31.5","30.8","440"
"2019","Community District","404","6","Elmhurst and Corona (CD4)","33.7","33.5","504"
"2019","Community District","405","6","Ridgewood and Maspeth (CD5)","39.3","38.6","500"
"2019","Community District","406","6","Rego Park and Forest Hills (CD6)","20.4","18.7","183"
"2019","Community District","407","6","Flushing and Whitestone (CD7)","18.8","17.4","390"
"2019","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","33.0","32.2","408"
"2019","Community District","409","6","Kew Gardens and Woodhaven (CD9)","46.6","46.7","537"
"2019","Community District","410","6","South Ozone Park and Howard Beach (CD10)","50.3","49.6","494"
"2019","Community District","411","6","Bayside and Little Neck (CD11)","11.0","10.5","103"
"2019","Community District","412","6","Jamaica and Hollis (CD12)","93.4","92.4","1,724"
"2019","Community District","413","6","Queens Village (CD13)","52.7","49.6","790"
"2019","Community District","414","6","Rockaway and Broad Channel (CD14)","121.9","116.8","1,008"
"2019","Community District","501","6","St. George and Stapleton (CD1)","97.3","94.8","1,402"
"2019","Community District","502","6","South Beach and Willowbrook (CD2)","37.4","34.8","404"
"2019","Community District","503","6","Tottenville and Great Kills (CD3)","18.2","17.5","228"
"2018","Citywide","1","0","New York City","89.9","88.4","58,907"
"2018","Borough","1","1","Bronx","172.4","172.8","18,641"
"2018","Borough","2","1","Brooklyn","93.2","91.2","18,211"
"2018","Borough","3","1","Manhattan","86.8","84.0","11,725"
"2018","Borough","4","1","Queens","45.3","44.4","8,084"
"2018","Borough","5","1","Staten Island","64.0","60.2","2,246"
"2018","UHF 42","101","4","Kingsbridge - Riverdale","60.2","55.0","412"
"2018","UHF 42","102","4","Northeast Bronx","125.7","122.1","1,957"
"2018","UHF 42","103","4","Fordham - Bronx Pk","155.8","155.3","3,067"
"2018","UHF 42","104","4","Pelham - Throgs Neck","112.1","110.6","2,572"
"2018","UHF 42","105","4","Crotona -Tremont","224.2","228.2","3,512"
"2018","UHF 42","106","4","High Bridge - Morrisania","235.8","241.8","3,832"
"2018","UHF 42","107","4","Hunts Point - Mott Haven","256.0","258.1","2,629"
"2018","UHF 42","201","4","Greenpoint","51.5","42.6","458"
"2018","UHF 42","202","4","Downtown - Heights - Slope","71.3","63.9","1,336"
"2018","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","175.2","173.2","4,414"
"2018","UHF 42","204","4","East New York","183.1","185.1","2,561"
"2018","UHF 42","205","4","Sunset Park","46.8","45.3","429"
"2018","UHF 42","206","4","Borough Park","28.3","28.0","653"
"2018","UHF 42","207","4","East Flatbush - Flatbush","117.5","111.2","2,608"
"2018","UHF 42","208","4","Canarsie - Flatlands","84.2","80.3","1,304"
"2018","UHF 42","209","4","Bensonhurst - Bay Ridge","20.9","20.5","337"
"2018","UHF 42","210","4","Coney Island - Sheepshead Bay","47.3","45.8","1,059"
"2018","UHF 42","211","4","Williamsburg - Bushwick","158.7","149.3","2,469"
"2018","UHF 42","301","4","Washington Heights","75.3","73.6","1,629"
"2018","UHF 42","302","4","Central Harlem - Morningside Heights","218.6","221.8","3,233"
"2018","UHF 42","303","4","East Harlem","262.4","263.6","2,399"
"2018","UHF 42","304","4","Upper West Side","56.0","52.8","982"
"2018","UHF 42","305","4","Upper East Side","18.0","16.3","299"
"2018","UHF 42","306","4","Chelsea - Clinton","52.2","47.0","688"
"2018","UHF 42","307","4","Gramercy Park - Murray Hill","39.3","33.4","401"
"2018","UHF 42","308","4","Greenwich Village - SoHo","14.3","14.0","102"
"2018","UHF 42","309","4","Union Square - Lower East Side","78.8","76.2","1,253"
"2018","UHF 42","310","4","Lower Manhattan","56.7","47.7","247"
"2018","UHF 42","401","4","Long Island City - Astoria","51.3","46.7","825"
"2018","UHF 42","402","4","West Queens","37.8","37.5","1,347"
"2018","UHF 42","403","4","Flushing - Clearview","20.5","19.6","410"
"2018","UHF 42","404","4","Bayside - Little Neck","14.0","12.9","92"
"2018","UHF 42","405","4","Ridgewood - Forest Hills","32.9","31.3","645"
"2018","UHF 42","406","4","Fresh Meadows","33.8","32.2","253"
"2018","UHF 42","407","4","Southwest Queens","45.4","45.3","987"
"2018","UHF 42","408","4","Jamaica","62.3","62.5","1,555"
"2018","UHF 42","409","4","Southeast Queens","43.9","42.1","721"
"2018","UHF 42","410","4","Rockaways","110.4","104.6","983"
"2018","UHF 42","501","4","Port Richmond","135.3","137.2","690"
"2018","UHF 42","502","4","Stapleton - St. George","95.5","89.0","864"
"2018","UHF 42","503","4","Willowbrook","42.1","38.3","281"
"2018","UHF 42","504","4","South Beach - Tottenville","26.6","24.6","375"
"2017","Citywide","1","0","New York City","-","92.5","61,909"
"2016","Citywide","1","0","New York City","99.1","98.1","66,229"
"2016","Borough","1","1","Bronx","192.4","193.5","21,089"
"2016","Borough","2","1","Brooklyn","103.1","101.7","20,608"
"2016","Borough","3","1","Manhattan","95.5","91.7","12,872"
"2016","Borough","4","1","Queens","52.3","51.6","9,598"
"2016","Borough","5","1","Staten Island","59.1","55.5","2,062"
"2016","UHF 42","101","4","Kingsbridge - Riverdale","78.3","75.0","559"
"2016","UHF 42","102","4","Northeast Bronx","145.7","139.1","2,231"
"2016","UHF 42","103","4","Fordham - Bronx Pk","182.1","184.4","3,560"
"2016","UHF 42","104","4","Pelham - Throgs Neck","136.8","136.4","3,250"
"2016","UHF 42","105","4","Crotona -Tremont","244.1","247.4","3,901"
"2016","UHF 42","106","4","High Bridge - Morrisania","275.3","280.4","4,507"
"2016","UHF 42","107","4","Hunts Point - Mott Haven","309.1","309.5","3,244"
"2016","UHF 42","201","4","Greenpoint","65.8","54.3","602"
"2016","UHF 42","202","4","Downtown - Heights - Slope","77.2","67.3","1,435"
"2016","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","209.2","208.5","5,327"
"2016","UHF 42","204","4","East New York","205.5","208.4","2,840"
"2016","UHF 42","205","4","Sunset Park","49.8","48.5","497"
"2016","UHF 42","206","4","Borough Park","27.5","27.2","668"
"2016","UHF 42","207","4","East Flatbush - Flatbush","123.7","122.2","2,885"
"2016","UHF 42","208","4","Canarsie - Flatlands","98.6","95.2","1,535"
"2016","UHF 42","209","4","Bensonhurst - Bay Ridge","23.7","23.5","402"
"2016","UHF 42","210","4","Coney Island - Sheepshead Bay","56.9","53.2","1,214"
"2016","UHF 42","211","4","Williamsburg - Bushwick","206.8","199.9","3,302"
"2016","UHF 42","301","4","Washington Heights","90.4","89.9","1,973"
"2016","UHF 42","302","4","Central Harlem - Morningside Heights","269.4","266.5","3,761"
"2016","UHF 42","303","4","East Harlem","317.4","314.5","2,806"
"2016","UHF 42","304","4","Upper West Side","64.2","61.7","1,159"
"2016","UHF 42","305","4","Upper East Side","20.3","18.2","340"
"2016","UHF 42","306","4","Chelsea - Clinton","51.0","47.5","687"
"2016","UHF 42","307","4","Gramercy Park - Murray Hill","43.0","37.5","456"
"2016","UHF 42","308","4","Greenwich Village - SoHo","17.9","17.6","128"
"2016","UHF 42","309","4","Union Square - Lower East Side","81.1","77.5","1,348"
"2016","UHF 42","310","4","Lower Manhattan","60.6","48.7","263"
"2016","UHF 42","401","4","Long Island City - Astoria","68.9","61.5","1,120"
"2016","UHF 42","402","4","West Queens","41.2","41.0","1,558"
"2016","UHF 42","403","4","Flushing - Clearview","24.6","23.3","511"
"2016","UHF 42","404","4","Bayside - Little Neck","16.7","16.1","119"
"2016","UHF 42","405","4","Ridgewood - Forest Hills","40.5","38.3","777"
"2016","UHF 42","406","4","Fresh Meadows","40.6","39.9","318"
"2016","UHF 42","407","4","Southwest Queens","50.4","50.6","1,147"
"2016","UHF 42","408","4","Jamaica","88.0","86.4","2,151"
"2016","UHF 42","409","4","Southeast Queens","57.7","54.9","937"
"2016","UHF 42","410","4","Rockaways","119.9","115.6","1,032"
"2016","UHF 42","501","4","Port Richmond","121.0","121.5","604"
"2016","UHF 42","502","4","Stapleton - St. George","90.5","85.5","835"
"2016","UHF 42","503","4","Willowbrook","32.1","29.7","210"
"2016","UHF 42","504","4","South Beach - Tottenville","29.0","27.0","415"
"2015","Citywide","1","0","New York City","†","†","†"
"2015","Borough","1","1","Bronx","†","†","†"
"2015","Borough","2","1","Brooklyn","†","†","†"
"2015","Borough","3","1","Manhattan","†","†","†"
"2015","Borough","4","1","Queens","†","†","†"
"2015","Borough","5","1","Staten Island","†","†","†"
"2014","Citywide","1","0","New York City","114.7","114.3","76,396"
"2014","Borough","1","1","Bronx","225.1","226.8","24,306"
"2014","Borough","2","1","Brooklyn","120.2","119.4","23,972"
"2014","Borough","3","1","Manhattan","106.6","102.4","14,294"
"2014","Borough","4","1","Queens","60.7","60.7","11,198"
"2014","Borough","5","1","Staten Island","73.7","71.3","2,626"
"2014","UHF 42","101","4","Kingsbridge - Riverdale","74.6","71.0","527"
"2014","UHF 42","102","4","Northeast Bronx","170.7","165.3","2,615"
"2014","UHF 42","103","4","Fordham - Bronx Pk","216.1","217.5","4,119"
"2014","UHF 42","104","4","Pelham - Throgs Neck","163.3","164.1","3,850"
"2014","UHF 42","105","4","Crotona -Tremont","285.9","289.1","4,462"
"2014","UHF 42","106","4","High Bridge - Morrisania","279.3","284.3","4,473"
"2014","UHF 42","107","4","Hunts Point - Mott Haven","337.7","338.3","3,463"
"2014","UHF 42","201","4","Greenpoint","73.5","59.7","643"
"2014","UHF 42","202","4","Downtown - Heights - Slope","81.6","73.4","1,516"
"2014","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","235.4","235.2","6,007"
"2014","UHF 42","204","4","East New York","243.1","248.1","3,393"
"2014","UHF 42","205","4","Sunset Park","65.0","61.5","618"
"2014","UHF 42","206","4","Borough Park","34.3","34.1","829"
"2014","UHF 42","207","4","East Flatbush - Flatbush","125.9","125.3","2,954"
"2014","UHF 42","208","4","Canarsie - Flatlands","99.8","99.2","1,601"
"2014","UHF 42","209","4","Bensonhurst - Bay Ridge","29.0","29.0","488"
"2014","UHF 42","210","4","Coney Island - Sheepshead Bay","58.9","57.1","1,293"
"2014","UHF 42","211","4","Williamsburg - Bushwick","247.0","233.1","3,849"
"2014","UHF 42","301","4","Washington Heights","100.8","100.2","2,192"
"2014","UHF 42","302","4","Central Harlem - Morningside Heights","267.8","263.3","3,720"
"2014","UHF 42","303","4","East Harlem","339.7","336.2","2,990"
"2014","UHF 42","304","4","Upper West Side","61.6","59.9","1,122"
"2014","UHF 42","305","4","Upper East Side","25.9","23.7","445"
"2014","UHF 42","306","4","Chelsea - Clinton","62.5","57.9","820"
"2014","UHF 42","307","4","Gramercy Park - Murray Hill","56.5","48.8","587"
"2014","UHF 42","308","4","Greenwich Village - SoHo","15.5","15.0","109"
"2014","UHF 42","309","4","Union Square - Lower East Side","90.3","86.1","1,487"
"2014","UHF 42","310","4","Lower Manhattan","62.6","47.0","246"
"2014","UHF 42","401","4","Long Island City - Astoria","62.1","56.7","1,024"
"2014","UHF 42","402","4","West Queens","41.8","41.3","1,556"
"2014","UHF 42","403","4","Flushing - Clearview","28.6","29.0","624"
"2014","UHF 42","404","4","Bayside - Little Neck","19.3","19.6","144"
"2014","UHF 42","405","4","Ridgewood - Forest Hills","43.8","42.8","873"
"2014","UHF 42","406","4","Fresh Meadows","42.9","42.6","337"
"2014","UHF 42","407","4","Southwest Queens","67.5","67.2","1,509"
"2014","UHF 42","408","4","Jamaica","100.8","101.4","2,496"
"2014","UHF 42","409","4","Southeast Queens","61.6","59.9","1,013"
"2014","UHF 42","410","4","Rockaways","126.0","124.7","1,118"
"2014","UHF 42","501","4","Port Richmond","148.4","151.5","739"
"2014","UHF 42","502","4","Stapleton - St. George","111.4","109.4","1,052"
"2014","UHF 42","503","4","Willowbrook","44.3","41.3","288"
"2014","UHF 42","504","4","South Beach - Tottenville","34.5","32.4","498"
"2013","Citywide","1","0","New York City","114.0","113.7","75,473"
"2013","Borough","1","1","Bronx","224.0","225.8","23,937"
"2013","Borough","2","1","Brooklyn","122.6","122.0","24,305"
"2013","Borough","3","1","Manhattan","101.6","97.7","13,586"
"2013","Borough","4","1","Queens","60.3","60.3","11,020"
"2013","Borough","5","1","Staten Island","73.3","71.6","2,625"
"2013","UHF 42","101","4","Kingsbridge - Riverdale","76.2","75.0","556"
"2013","UHF 42","102","4","Northeast Bronx","166.5","161.2","2,526"
"2013","UHF 42","103","4","Fordham - Bronx Pk","221.5","223.3","4,175"
"2013","UHF 42","104","4","Pelham - Throgs Neck","164.7","165.5","3,846"
"2013","UHF 42","105","4","Crotona -Tremont","281.8","283.3","4,306"
"2013","UHF 42","106","4","High Bridge - Morrisania","285.3","289.9","4,493"
"2013","UHF 42","107","4","Hunts Point - Mott Haven","324.5","325.9","3,281"
