Date,zoneID,RMZ,ComplaintType,Number
6/30/22,2,Bronx: Grand Concourse,Condition attracting rodents,114
6/30/22,2,Bronx: Grand Concourse,Mouse sighting,80
6/30/22,2,Bronx: Grand Concourse,Rat sighting,509
6/30/22,2,Bronx: Grand Concourse,Signs of rodents,59
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,178
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,50
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,810
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,127
6/30/22,4,Manhattan: Harlem,Condition attracting rodents,168
6/30/22,4,Manhattan: Harlem,Mouse sighting,129
6/30/22,4,Manhattan: Harlem,Rat sighting,1145
6/30/22,4,Manhattan: Harlem,Signs of rodents,501
6/30/22,3,Manhattan: East Village and Chinatown,Condition attracting rodents,70
6/30/22,3,Manhattan: East Village and Chinatown,Mouse sighting,40
6/30/22,3,Manhattan: East Village and Chinatown,Rat sighting,268
6/30/22,3,Manhattan: East Village and Chinatown,Signs of rodents,38
12/31/22,2,Bronx: Grand Concourse,Condition attracting rodents,124
12/31/22,2,Bronx: Grand Concourse,Mouse sighting,102
12/31/22,2,Bronx: Grand Concourse,Rat sighting,481
12/31/22,2,Bronx: Grand Concourse,Signs of rodents,56
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,159
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,32
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,699
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,94
12/31/22,4,Manhattan: Harlem,Condition attracting rodents,202
12/31/22,4,Manhattan: Harlem,Mouse sighting,99
12/31/22,4,Manhattan: Harlem,Rat sighting,1112
12/31/22,4,Manhattan: Harlem,Signs of rodents,575
12/31/22,3,Manhattan: East Village and Chinatown,Condition attracting rodents,61
12/31/22,3,Manhattan: East Village and Chinatown,Mouse sighting,30
12/31/22,3,Manhattan: East Village and Chinatown,Rat sighting,301
12/31/22,3,Manhattan: East Village and Chinatown,Signs of rodents,30
6/30/23,2,Bronx: Grand Concourse,Condition attracting rodents,98
6/30/23,2,Bronx: Grand Concourse,Mouse sighting,79
6/30/23,2,Bronx: Grand Concourse,Rat sighting,335
6/30/23,2,Bronx: Grand Concourse,Signs of rodents,64
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,242
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,38
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,763
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,137
6/30/23,4,Manhattan: Harlem,Condition attracting rodents,249
6/30/23,4,Manhattan: Harlem,Mouse sighting,104
6/30/23,4,Manhattan: Harlem,Rat sighting,921
6/30/23,4,Manhattan: Harlem,Signs of rodents,469
6/30/23,3,Manhattan: East Village and Chinatown,Condition attracting rodents,56
6/30/23,3,Manhattan: East Village and Chinatown,Mouse sighting,16
6/30/23,3,Manhattan: East Village and Chinatown,Rat sighting,217
6/30/23,3,Manhattan: East Village and Chinatown,Signs of rodents,43
12/31/23,2,Bronx: Grand Concourse,Condition attracting rodents,122
12/31/23,2,Bronx: Grand Concourse,Mouse sighting,86
12/31/23,2,Bronx: Grand Concourse,Rat sighting,407
12/31/23,2,Bronx: Grand Concourse,Signs of rodents,68
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,180
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,36
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,663
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,91
12/31/23,4,Manhattan: Harlem,Condition attracting rodents,260
12/31/23,4,Manhattan: Harlem,Mouse sighting,138
12/31/23,4,Manhattan: Harlem,Rat sighting,870
12/31/23,4,Manhattan: Harlem,Signs of rodents,1130
12/31/23,3,Manhattan: East Village and Chinatown,Condition attracting rodents,66
12/31/23,3,Manhattan: East Village and Chinatown,Mouse sighting,28
12/31/23,3,Manhattan: East Village and Chinatown,Rat sighting,262
12/31/23,3,Manhattan: East Village and Chinatown,Signs of rodents,39
