Date,zoneID,RMZ,ComplaintType,Number
6/30/2022,2,Bronx: Grand Concourse,Condition attracting rodents,114
6/30/2022,2,Bronx: Grand Concourse,Mouse sighting,80
6/30/2022,2,Bronx: Grand Concourse,Rat sighting,509
6/30/2022,2,Bronx: Grand Concourse,Signs of rodents,59
6/30/2022,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,178
6/30/2022,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,50
6/30/2022,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,810
6/30/2022,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,127
6/30/2022,4,Manhattan: Harlem,Condition attracting rodents,168
6/30/2022,4,Manhattan: Harlem,Mouse sighting,129
6/30/2022,4,Manhattan: Harlem,Rat sighting,1145
6/30/2022,4,Manhattan: Harlem,Signs of rodents,501
6/30/2022,3,Manhattan: East Village and Chinatown,Condition attracting rodents,70
6/30/2022,3,Manhattan: East Village and Chinatown,Mouse sighting,40
6/30/2022,3,Manhattan: East Village and Chinatown,Rat sighting,268
6/30/2022,3,Manhattan: East Village and Chinatown,Signs of rodents,38
12/31/2022,2,Bronx: Grand Concourse,Condition attracting rodents,124
12/31/2022,2,Bronx: Grand Concourse,Mouse sighting,102
12/31/2022,2,Bronx: Grand Concourse,Rat sighting,481
12/31/2022,2,Bronx: Grand Concourse,Signs of rodents,56
12/31/2022,1,Brooklyn: Bed Stuy and Bushwick,Condition attracting rodents,159
12/31/2022,1,Brooklyn: Bed Stuy and Bushwick,Mouse sighting,32
12/31/2022,1,Brooklyn: Bed Stuy and Bushwick,Rat sighting,699
12/31/2022,1,Brooklyn: Bed Stuy and Bushwick,Signs of rodents,94
12/31/2022,4,Manhattan: Harlem,Condition attracting rodents,202
12/31/2022,4,Manhattan: Harlem,Mouse sighting,99
12/31/2022,4,Manhattan: Harlem,Rat sighting,1112
12/31/2022,4,Manhattan: Harlem,Signs of rodents,575
12/31/2022,3,Manhattan: East Village and Chinatown,Condition attracting rodents,61
12/31/2022,3,Manhattan: East Village and Chinatown,Mouse sighting,30
12/31/2022,3,Manhattan: East Village and Chinatown,Rat sighting,301
12/31/2022,3,Manhattan: East Village and Chinatown,Signs of rodents,30
6/30/2023,2,Bronx: Grand Concourse,Condition attracting rodents,98
6/30/2023,2,Bronx: Grand Concourse,Mouse sighting,79
